Case Number;Case Origin;Secondary Origin;Referrer Type;Details;Response;Status;Date/Time Opened;Date/Time Closed;Product: Product Name;Type;AE\PQC ID;Verbal Response;No Response;Written Response;User Country;Case Owner: Role: Name
27253777;External System;Veeva;COMMERCIAL;Request: La dottoressa Bava, chiede l'invio di materiale scientifico per approfondire l'utilizzo dei vari BTKi nei pazienti con leucemia linfatica cronica che presentano rischio CV e del materiale che spieghi le varie tipologie di terapie (TTP e FIXED). Tale richiesta non é riconducibile a nessun paziente, ma trattasi di un semplice personale aggiornamento scientifico che la sopracitata richiede per sé stessa.;;Closed;01/07/2026 8.00;01/07/2026 16.41;;;;0;0;0;IT;Italy
27253778;External System;Veeva;COMMERCIAL;Request: La dottoressa Bava, chiede l'invio di materiale scientifico per approfondire l'utilizzo dei vari BTKi nei pazienti con leucemia linfatica cronica che presentano rischio CV e del materiale che spieghi le varie tipologie di terapie (TTP e FIXED). Tale richiesta non é riconducibile a nessun paziente, ma trattasi di un semplice personale aggiornamento scientifico che la sopracitata richiede per sé stessa.;Inviata ricerca bibliografica embase relativa a BTKi e rischio cardiovascolare nella LLC Inviata ricerca bibliografica embase relava a TTP vs Fixed Duration nella LLC Inviata standard response Acalabrutinib - Management and Occurrence of Cardiovascular Adverse Events con rimando a pg 6 Quality check perfomed;Closed;01/07/2026 8.00;01/07/2026 16.41;Calquence;Literature Request;;0;0;1;IT;Italy
27253852;External System;Veeva;COMMERCIAL;Request: AEROSPHERE Inhaler Overview Link a video illustrativo di tecnologia Aerosphere;;Closed;01/07/2026 9.00;06/07/2026 16.35;;;;0;0;0;IT;Mediterranean_V
27253854;External System;Veeva;COMMERCIAL;Request: AEROSPHERE Inhaler Overview Link a video illustrativo di tecnologia Aerosphere;Inviati articolo, slide deck, SR e link completi di diritti di riuso escluse terze parti. Quality check performed.;Closed;01/07/2026 9.00;06/07/2026 16.34;Trixeo;Literature Request;;0;0;1;IT;Mediterranean_V
27253857;External System;Veeva;COMMERCIAL;Request: Vorrei ricevere le linee guida EHA 2026 EHA GUIDELINES ON MANAGEMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA AND RICHTER TRASFORMATION;;Closed;01/07/2026 9.00;03/07/2026 13.58;;;;0;0;0;IT;Mediterranean_V
27253858;External System;Veeva;COMMERCIAL;Request: Vorrei ricevere le linee guida EHA 2026 EHA GUIDELINES ON MANAGEMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA AND RICHTER TRASFORMATION;Inviato articolo allegato manualmente completo di diritti di riuso escluse terze parti. Quality check performed.;Closed;01/07/2026 9.00;03/07/2026 13.57;Acalabrutinib;Literature Request;;0;0;1;IT;Mediterranean_V
27253859;External System;Veeva;COMMERCIAL;Request: Vorrei ricevere lo studio Elevate R/R studio registrativo di Acalabrutinib per i pazienti ricaduti Grazie;;Closed;01/07/2026 9.00;03/07/2026 14.04;;;;0;0;0;IT;Mediterranean_V
27253860;External System;Veeva;COMMERCIAL;Request: Vorrei ricevere lo studio Elevate R/R studio registrativo di Acalabrutinib per i pazienti ricaduti Grazie;*ESC Inviato articolo completo di diritti di riuso escluse terze parti. Quality check performed.;Closed;01/07/2026 9.00;03/07/2026 14.04;Acalabrutinib;Literature Request;;0;0;1;IT;Mediterranean_V
27253792;Champion;Champion;COMMERCIAL;Request: 1. Comparison between Osi+Chemo upfront VS Osi monotherapy + adding chemo later on, eg. COMPEL study - study design, results data or any RWE 2. Guideline/RWE/Evidence/Paper on dose modification, eg. 80mg EOD or other dose modifications for patients continuing osimertinib post PD (eg. Oligomets) when on 1L osimertinib treatment, due to tolerability/performance status/cost etc.;;Closed;01/07/2026 8.11;23/07/2026 15.26;Tagrisso;Medical Inquiry;;0;0;1;MY;Malaysia
27253879;Champion;Champion;COMMERCIAL;Request: Il clinico vorrebbe avere dati sull'efficacia di Forxiga nei pazienti con malattia renale cronica senza comorbidita quali diabete e scompenso cardiaco. Esiste qualche studio a riguardo oppure una sottoanalisi del Dapa CKD in cui si valuta questo specifico tipo di pazienti?;;Closed;01/07/2026 9.16;01/07/2026 18.02;;;;0;0;0;IT;Italy
27253880;Champion;Champion;COMMERCIAL;Request: Il clinico vorrebbe avere dati sull'efficacia di Forxiga nei pazienti con malattia renale cronica senza comorbidita quali diabete e scompenso cardiaco. Esiste qualche studio a riguardo oppure una sottoanalisi del Dapa CKD in cui si valuta questo specifico tipo di pazienti?;"Inviata ricerca bibliografica Embase relaiva a Dapagliflozin e ckd (no diabete e HF) Inviata standard resoonse : ""Dapagliflozin - DAPA - CKD Data in Patients With and Without Type 2 Diabetes"" Quality check performed";Closed;01/07/2026 9.16;01/07/2026 18.02;Forxiga;Literature Request;;0;0;1;IT;Italy
27253967;Email;medinfo-italy@astrazeneca.com;;;;Closed;01/07/2026 10.02;01/07/2026 10.21;;;;0;0;0;IT;Italy
27253968;Email;medinfo-italy@astrazeneca.com;;Spett.le ditta, si chiedono informazioni circa la stabilità e la possibilità di utilizzo del farmaco tezspire, considerato che per un guasto alla luce elettrica il frigorifero nel quale era custodito il suddetto FARMACO ha raggiunto le seguenti temperature: a) IN 60 MINUTI temp max raggiunta 12.8°C b) IN 43 MINUTI temp max raggiunta 12.1°C c) IN 13 MINUTI temp max raggiunta 10.8°C Si allega la registrazione delle temperature del suddetto frigorifero. Si resta in attesa di cortese urgente riscontro. Maria Rosaria Vesta;Inviti RCP e standsrd response quality check performed;Closed;01/07/2026 10.02;01/07/2026 10.21;Tezspire;Medical Inquiry;;0;0;1;IT;Italy
27254044;Champion;Champion;COMMERCIAL;"Request: Anifrolumab therapy in Dermatomyositis : new insights from refractory patients. The journal of rheumatology";;Closed;01/07/2026 11.03;03/07/2026 14.31;;;;0;0;0;IT;Mediterranean_V
27254045;Champion;Champion;COMMERCIAL;"Request: Anifrolumab therapy in Dermatomyositis : new insights from refractory patients. The journal of rheumatology";Inviati articoli, links e ricerca bibliografica completi di diritti di riuso escluse terze parti. Quality check performed.;Closed;01/07/2026 11.03;03/07/2026 14.29;Anifrolumab;Literature Request;;0;0;1;IT;Mediterranean_V
27254043;External System;Veeva;MEDICAL;Request: anifrolumab ibn scelrosi sistemica case report? GC : RICHIESTA INVIATA PER STUDIO / INTERESSE PERSONALE DEL CLINICO- NESSUN AE/SS ASSOCIATO AD ANIFRILUMAB DA SEGNALARE;Inviate ricerche bibliografiche embase in allegato, link a contestuale ricerca pubmed , link a pubblicazione open access quality check perforemd;Closed;01/07/2026 11.00;01/07/2026 12.23;Anifrolumab;Literature Request;;0;0;1;IT;Italy
27254047;Email;medinfo-italy@astrazeneca.com;;Gent.mi, vi scrivo per chiedere se in letteratura è presente qualche esperienza di pazienti con Lupus e sclerosi multipla trattati con biologici in particolare Anifrolumab . In particolari se sono riportati casi trattati con Anifrolumab e Ocrelizumab (anti CD20). Vi ringrazio e attendo un vostro riscontro . Grazie Davide Cocca;Segnalata assenza di letteratura relativa allo specifico quadro descritto. Inviati 3 link ad articoli open access per completezza di informazione. Quality check performed;Closed;01/07/2026 11.07;02/07/2026 10.51;Anifrolumab;Literature Request;;0;0;1;IT;Italy
27254491;Email;medinfo-brazil@astrazeneca.com;;"Contraindication/drug interaction between trastuzumab deruxtecan for breast cancer HER2+ and ""carbolitium"" (lithium) for severe bipolar disorder";MSL-De acordo com GMI;Closed;01/07/2026 19.24;06/07/2026 16.40;Enhertu;Medical Inquiry;;0;0;1;BR;Brazil
27254579;Email;AlexionMedinfo@astrazeneca.com;Medical;Physician inquired if we have data on dosing of ravulizumab above the label dosing for PNH patients experiencing breakthrough hemolysis (AE submitted). Of note, the patient is pregnant.;"MJB 01-JUL-2026 - AE reported in 27254592, No PC ARC 06JUL2026 - Sent: RAVULIZUMAB IN PNH: DOSE MODIFICATION IN PREGNANT PATIENTS WITH HEMOLYSIS";Closed;01/07/2026 22.21;06/07/2026 21.58;Ultomiris;Medical Inquiry;;0;0;1;US;United States
27255180;Champion;Champion;MEDICAL;Request: HCP Calls 02JUL2026: Faslodex (fulvestrant) subcutaneous vs intramuscular administration and systemic exposure.;Written response sent 16-Jul-2026;Closed;02/07/2026 10.19;16/07/2026 14.19;Faslodex;Medical Inquiry;;1;0;1;DK;Nordics_V
27256639;Email;medinfo-spain@astrazeneca.com;Medical;Email SSA por solicitud HCP: La doctora nos solicita información sobre casos publicados donde se describa rash cutáneo o exantema asociado al uso de Benralizumab para GEPA. Al motivarse por un caso reciente con paciente de su consulta, ha sido reportado a Farmacovigilancia con el código CH-01153237A.;Respuesta enviada;Closed;03/07/2026 12.19;08/07/2026 12.59;Fasenra;Medical Inquiry;;0;0;1;ES;Spain
27256742;Email;medinfo-brazil@astrazeneca.com;;Patient developed seizures and hallucinations during the use of selumetinib - support material required;MSL-De acordo com GMI;Closed;03/07/2026 14.28;07/07/2026 14.24;Koselugo;Medical Inquiry;;0;0;1;BR;Brazil
